environment,cpu_time,size,position,factor
clingo,0.0,100,1,
postgres,3.2600000000004845e-05,100,2,inf
mariadb,8.979999999999543e-05,600,3,275.4601226993316
mariadb,0.00010000000000000009,100,4,111.35857461025074
mariadb,0.00010060000000001734,500,5,100.60000000001725
mariadb,0.00011539999999999883,200,6,114.71172962224547
mariadb,0.00012019999999997033,300,7,104.15944540725437
mariadb,0.00013380000000000613,400,8,111.31447587357665
cockroachdb,0.00013419999999999543,400,9,100.29895366217436
cockroachdb,0.0001551999999999998,300,10,115.64828614009319
postgres,0.00016420000000001435,500,11,105.79896907217434
postgres,0.00016519999999999868,600,12,100.60901339828516
cockroachdb,0.00016800000000000148,100,13,101.69491525423899
cockroachdb,0.00016900000000000804,200,14,100.595238095242
mariadb,0.00016979999999999773,800,15,100.47337278105897
postgres,0.00017219999999998903,400,16,101.41342756183236
cockroachdb,0.00017380000000000173,500,17,100.92915214867178
postgres,0.00017500000000000293,800,18,100.6904487917153
postgres,0.00017720000000001068,300,19,101.25714285714726
mariadb,0.00018419999999998992,700,20,103.95033860043952
postgres,0.00018920000000000048,200,21,102.7144408251959
mariadb,0.00018959999999998978,1000,22,100.2114164904806
postgres,0.00019399999999999417,700,23,102.32067510548768
mariadb,0.0001963999999999966,900,24,101.23711340206314
cockroachdb,0.0002120000000000011,600,25,107.94297352342402
cockroachdb,0.00023619999999999753,700,26,111.41509433962091
cockroachdb,0.0002525999999999917,900,27,106.94326841659372
postgres,0.000268999999999997,900,28,106.49247822644728
postgres,0.0002879999999999772,1000,29,107.06319702601502
cockroachdb,0.00030419999999999894,1000,30,105.625000000008
cockroachdb,0.00030439999999998246,800,31,100.06574621958694
xsb,0.0047684,100,32,1566.4914586071861
clingo,0.010000000000000009,200,33,209.71395017196562
xsb,0.0194916,200,34,194.91599999999985
clingo,0.02400000000000002,300,35,123.12996367666082
duckdb,0.034408199999999986,100,36,143.3674999999998
xsb,0.044468,300,37,129.23663545317692
clingo,0.052000000000000046,400,38,116.93802284789072
souffle,0.0705446,100,39,135.6626923076922
xsb,0.0817916,400,40,115.94310549638102
clingo,0.08200000000000006,500,41,100.25479389081526
duckdb,0.0919792,200,42,112.1697560975609
clingo,0.1260000000000001,600,43,136.9874928244648
xsb,0.13355340000000002,500,44,105.99476190476183
duckdb,0.1441954,300,45,107.96834824122786
clingo,0.16599999999999993,700,46,115.12156421078615
xsb,0.19479799999999997,600,47,117.34819277108437
clingo,0.21399999999999988,800,48,109.85739073296436
souffle,0.230699,200,49,107.80327102803744
duckdb,0.25368779999999996,400,50,109.96484596812294
clingo,0.27000000000000013,900,51,106.43002935103705
xsb,0.2757306,700,52,102.12244444444438
duckdb,0.3218432,500,53,116.7237876390941
clingo,0.3540000000000002,1000,54,109.99144925230678
xsb,0.36843260000000005,800,55,104.07700564971746
duckdb,0.44626780000000005,600,56,121.12603499256036
xsb,0.46276979999999995,900,57,103.69777967399843
duckdb,0.4659548,700,58,100.68824715873855
neo4j,0.4832518,100,59,103.71216263895124
souffle,0.5187272,300,60,107.34097627779143
xsb,0.5923514,1000,61,114.19324068604845
duckdb,0.6193474,800,62,104.55742993094977
duckdb,0.7082556,1000,63,114.35514220290584
souffle,0.9394866000000001,400,64,132.64795929605074
duckdb,1.0056791999999999,900,65,107.04561406197809
souffle,1.486266,500,66,147.78728644283387
neo4j,1.9610551999999999,200,67,131.94510269359589
souffle,2.15974,600,68,110.13152510954309
souffle,2.9822819999999997,700,69,138.08523248168757
souffle,3.9257280000000003,800,70,131.63503652572092
neo4j,4.3995272,300,71,112.06907865241809
souffle,5.0209600000000005,900,72,114.12499052170881
souffle,6.306964,1000,73,125.61271151333608
neo4j,7.8742898,400,74,124.85071739746732
neo4j,12.2870582,500,75,156.0402082229689
neo4j,17.6821484,600,76,143.9087217801247
neo4j,24.053349200000003,700,77,136.0318251825101
neo4j,31.914628200000003,800,78,132.68267938337667
neo4j,40.4625408,900,79,126.78368222381484
neo4j,50.13675099999999,1000,80,123.90905269102623
